0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,12,12
0,8,2
0,5,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
30,40,62
22,44,62
17,41,55
7,38,49
7,35,43
4,25,33
4,15,22
4,12,17
4,6,7
4,4,3
4,13,15
4,7,3
4,4,3
4,2,3
4,10,10
4,14,23
4,12,20
0,26,42
0,25,39
0,22,32
0,18,19
0,9,7
0,5,1
0,0,1
0,7,12
0,5,8
0,13,26
4,27,40
4,28,42
4,20,26
4,9,7
4,5,1
4,10,10
4,14,23
4,12,21
3,28,40
3,26,38
3,21,27
3,5,0
3,5,0
3,5,0
3,9,8
3,13,22
3,12,20
0,24,35
0,19,25
0,6,4
0,11,17
0,2,2
0,9,14
0,12,21
0,23,34
0,19,24
0,3,11
0,3,11
0,6,11
0,11,21
3,27,41
3,26,41
3,15,19
3,13,17
3,11,17
3,10,8
3,15,25
3,13,22
0,25,37
0,25,37
0,22,32
0,16,18
0,14,20
0,16,20
0,18,26
0,15,21
0,12,18
21,38,61
15,37,56
1,29,48
1,28,43
1,23,35
0,22,37
0,23,35
0,16,22
0,16,22
0,16,21
0,13,15
0,26,50
0,19,35
0,12,20
0,13,23
0,11,18
0,8,10
0,22,27
6,27,44
19,39,57
19,41,62
5,35,51
5,24,34
5,19,27
5,10,15
5,7,11
5,4,6
5,0,6
5,0,6
5,0,6
5,0,6
1,21,33
1,18,28
1,14,19
1,12,13
1,8,7
1,6,1
45,55,82
49,62,91
33,57,84
27,57,78
23,47,67
8,32,43
8,15,19
8,26,38
8,20,31
0,21,32
0,17,27
0,13,17
0,8,12
0,3,4
0,6,3
0,4,6
0,11,22
0,25,36
0,11,11
0,2,11
0,0,1
0,0,1
0,18,25
0,15,25
0,25,38
28,37,57
11,31,47
1,23,36
1,19,28
1,9,10
3,20,32
